Impact ID,Gauge,RLOI_ID,Value,Units,ThresholdComment,Short Name,Description,Type,ObsFloodYear,ObsFloodMonth,Source,Longitude,Latitude
299,Tide at Whitby,8216,3.63,mALD,"19 Mar 2007 - High tidal forecasts has given rise to flood warning conditions. 1
property flooded.",Property flooding Whitby,Property flooding at Whitby,Property Impact,2007,March,EMERGENCY RESPONSE PROCEDURES MANUAL,-0.612266,54.489617
300,Tide at Whitby,8216,3.7,mALD,"12 Jan 2005 - Minor flooding at Whitby. Surge of 1m experienced combined with
astronomic high tides.",Property flooding Whitby,Property flooding at Whitby,,2005,January,EMERGENCY RESPONSE PROCEDURES MANUAL,-0.612266,54.489617
301,Tide at Whitby,8216,3.73,mALD,10-Sep-02,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2002,October,EMERGENCY RESPONSE PROCEDURES MANUAL,,
302,River Aire at Gargrave,8083,1.08,mALD,Peak Level -15 November 2015,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2015,November,EMERGENCY RESPONSE PROCEDURES MANUAL,,
303,River Aire at Gargrave,8083,1.1,mALD,Peak Level - 12 December 2015,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2015,December,EMERGENCY RESPONSE PROCEDURES MANUAL,,
304,River Aire at Gargrave,8083,1.28,mALD,"Peak Level - Summer 2002
The gardens and out buildings of 3 properties in Gargrave flooded from an ordinary
watercourse. The gardens of properties on River Place flooded from the River Aire,
however watercourse. The gardens of properties on River Place flooded from the
River Aire.",Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2002,,EMERGENCY RESPONSE PROCEDURES MANUAL,,
305,River Aire at Gargrave,8083,1.32,mALD,"Peak Level - Autumn 2000
In total 35 residential properties, 4 commercial properties, 1 factory (Johnson and
Johnson), the village church and 12 caravans at the site in New Brighton were
affected by flooding. The Johnson & Johnson factory was flooded to a depth of 0.2m
with the flooding being attributed to both the River Aire and Eshton Beck. Properties
on River Place and Water Street are believed to have flooded from surface water
which had no drainage route since the volume of water in the River Aire had backed
up drains. The depth of flooding in some properties reached 0.5m",Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2000,,EMERGENCY RESPONSE PROCEDURES MANUAL,,
306,River Aire at Snaygill,8189,4.27,mALD,Peak Level - 12 December 2015,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2015,December,EMERGENCY RESPONSE PROCEDURES MANUAL,,
307,River Aire at Snaygill,8189,4.32,mALD,Peak Level - Autumn 2000,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2000,,EMERGENCY RESPONSE PROCEDURES MANUAL,,
308,River Aire at Snaygill,8189,4.73,mALD,Peak Level - 26th December 2015,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2015,December,EMERGENCY RESPONSE PROCEDURES MANUAL,,
309,River Aire at Kildwick,8112,1.96,mALD,Peak Level - 15 June 2007,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2007,June,EMERGENCY RESPONSE PROCEDURES MANUAL,,
310,River Aire at Kildwick,8112,2,mALD,Peak Level - 25 June 2007,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2007,June,EMERGENCY RESPONSE PROCEDURES MANUAL,,
311,River Aire at Kildwick,8112,2.69,mALD,Peak Level - 13 December 2015,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2015,December,EMERGENCY RESPONSE PROCEDURES MANUAL,,
312,River Aire at Kildwick,8112,3.25,mALD,Peak Level - June 2000,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2000,June,EMERGENCY RESPONSE PROCEDURES MANUAL,,
313,River Aire at Kildwick,8112,3.37,mALD,Peak Level - 1946,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,1946,,EMERGENCY RESPONSE PROCEDURES MANUAL,,
314,River Aire at Kildwick,8112,3.47,mALD,Peak Level - October 1980,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,1980,October,EMERGENCY RESPONSE PROCEDURES MANUAL,,
315,River Aire at Kildwick,8112,3.5,mALD,Peak Level - 26 September 2012,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2012,September,EMERGENCY RESPONSE PROCEDURES MANUAL,,
316,River Aire at Kildwick,8112,3.51,mALD,Peak Level - February 2002,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2002,February,EMERGENCY RESPONSE PROCEDURES MANUAL,,
317,River Aire at Kildwick,8112,4.22,mALD,Peak Level - Autumn 2000,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2000,Autumn,EMERGENCY RESPONSE PROCEDURES MANUAL,,
318,River Aire at Kildwick,8112,3.5,mALD,"Skipton Road Properties begin to flood in this area when the gauge records a
level above 3.50",Property flooding Skipton Road,"Property flooding on Skipton Road, Keighley",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.986723,53.908612
319,River Aire at Kildwick,8112,3.4,mALD,"Cross Hill Properties begin to flood in this area when the gauge records a
level above 3.40",Property flooding Cross Hills,"Property flooding at Corss Hills, Keighley",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.987753,53.900216
320,River Aire at Kildwick,8112,4.1,mALD,"Steeton Properties begin to flood in this area when the gauge records a
level above 4.1m.",Property flooding Steeton,"Property flooding at Steeton, Keighley",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.949266,53.898607
321,River Aire at Kildwick,8112,4.1,mALD,"Approximately 31 properties at the bottom of Thornhill Road and
Ings Road will flood from water backing up in tributaries and
culverts that run under the railway line as Steeton Ings fill from
the River Aire overtopping.
Flooding from Eastburn Beck can also affect this area for
example the main road, and the properties at the bottom of
Thornhill Road and Ings Road.",Property flooding Thornhill Road,"Property flooding on Thornhill Road, Steeton",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.960044,53.901341
322,River Aire at Kildwick,8112,4.1,mALD,"Approximately 31 properties at the bottom of Thornhill Road and
Ings Road will flood from water backing up in tributaries and
culverts that run under the railway line as Steeton Ings fill from
the River Aire overtopping.
Flooding from Eastburn Beck can also affect this area for
example the main road, and the properties at the bottom of
Thornhill Road and Ings Road.",Property flooding Ings Road,"Property flooding on Ings Road, Steeton",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.959518,53.901404
323,River Aire at Stockbridge,8199,2.39,mALD,Peak Level - June 2000,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2000,June,EMERGENCY RESPONSE PROCEDURES MANUAL,,
324,River Aire at Stockbridge,8199,2.51,mALD,Peak Level - 26 September 2012,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2012,September,EMERGENCY RESPONSE PROCEDURES MANUAL,,
325,River Aire at Stockbridge,8199,2.68,mALD,Peak Level - February 2002,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2002,February,EMERGENCY RESPONSE PROCEDURES MANUAL,,
326,River Aire at Stockbridge,8199,2.96,mALD,Peak Level - October 1980,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,1980,October,EMERGENCY RESPONSE PROCEDURES MANUAL,,
327,River Aire at Stockbridge,8199,3.68,mALD,Peak Level - Autumn 2000,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2000,,EMERGENCY RESPONSE PROCEDURES MANUAL,,
328,River Aire at Stockbridge,8199,3.88,mALD,Peak Level - 26th December 2015,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2015,December,EMERGENCY RESPONSE PROCEDURES MANUAL,,
329,River Aire at Bingley,8345,1.21,mALD,Peak in June 2000,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2000,,EMERGENCY RESPONSE PROCEDURES MANUAL,,
330,River Aire at Bingley,8345,1.28,mALD,Peak Level - 23 June 2012,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2012,June,EMERGENCY RESPONSE PROCEDURES MANUAL,,
331,River Aire at Bingley,8345,1.38,mALD,Peak Level - 12 December 2015,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2015,December,EMERGENCY RESPONSE PROCEDURES MANUAL,,
332,River Aire at Bingley,8345,1.42,mALD,Peak Level - 21 January 2008,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2008,January,EMERGENCY RESPONSE PROCEDURES MANUAL,,
333,River Aire at Bingley,8345,1.54,mALD,Peak in February 2002,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2002,February,EMERGENCY RESPONSE PROCEDURES MANUAL,,
334,River Aire at Bingley,8345,2.46,mALD,Peak in Autumn 2000,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2000,,EMERGENCY RESPONSE PROCEDURES MANUAL,,
335,River Aire at Bingley,8345,3.72,mALD,Peak Level - 27th December 2015,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2015,December,EMERGENCY RESPONSE PROCEDURES MANUAL,,
336,River Aire at Cottingley Bridge,8056,2.16,mALD,Peak Level - 25 June 2007,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2007,June,EMERGENCY RESPONSE PROCEDURES MANUAL,,
337,River Aire at Cottingley Bridge,8056,2.31,mALD,Peak Level - 23 June 2000,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2000,June,EMERGENCY RESPONSE PROCEDURES MANUAL,,
338,River Aire at Cottingley Bridge,8056,2.38,mALD,Peak Level - Summer 2002,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2002,,EMERGENCY RESPONSE PROCEDURES MANUAL,,
339,River Aire at Cottingley Bridge,8056,2.4,mALD,Peak Level - 21 January 2008,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2008,January,EMERGENCY RESPONSE PROCEDURES MANUAL,,
340,River Aire at Cottingley Bridge,8056,2.42,mALD,Peak Level - February 2002,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2002,February,EMERGENCY RESPONSE PROCEDURES MANUAL,,
341,River Aire at Cottingley Bridge,8056,2.89,mALD,Peak Level - October 2000,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2000,October,EMERGENCY RESPONSE PROCEDURES MANUAL,,
342,River Aire at Cottingley Bridge,8056,3.47,mALD,Peak Level - 26th December 2015,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2015,December,EMERGENCY RESPONSE PROCEDURES MANUAL,,
343,River Aire at Cottingley Bridge,8056,2.4,mALD,"Cottingley Properties begin to flood in this area when the gauge records a
level above 2.40.",Property flooding Cottingley,"Property flooding at Cottingley, Bingley",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.819671,53.833754
344,River Aire at Cottingley Bridge,8056,2.4,mALD,"Shipley Properties begin to flood in this area when the gauge records a
level above 2.40.",Property flooding Shipley,Property flooding at Shipley,Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.776034,53.836795
345,River Aire at Cottingley Bridge,8056,2.6,mALD,"Apperley Bridge Properties begin to flood in this area when the gauge records a
level above 2.60",Property flooding Apperley Bridge,"Property flooding at Apperley Bridge, Bradford",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.712389,53.834665
346,River Aire at Cottingley Bridge,8056,2.7,mALD,"Branksome Drive Properties begin to flood in this area when the gauge records a
level above 2.70",Property flooding Branksome Drive,"Property flooding on Branksome Drive, Shipley",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.810249,53.835574
347,River Aire at Cottingley Bridge,8056,2.8,mALD,"Harden Heck Properties begin to flood in this area when the gauge records a
level above 2.80",Property flooding Harden,Property flooding at Harden,Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.859632,53.839402
348,River Aire at Cottingley Bridge,8056,2.8,mALD,At this level we expect Beckfoot Farm and Beckfoot Lane Bingley to be affected,Property flooding Beckfoot Lane,"Property flooding on Beckfoot Lane, Bingley",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.833022,53.838514
349,River Aire at Saltaire,8346,1.34,mALD,Peak Level - June 2000,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2000,June,EMERGENCY RESPONSE PROCEDURES MANUAL,,
350,River Aire at Saltaire,8346,1.36,mALD,Peak Level - 15 June 2007,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2007,June,EMERGENCY RESPONSE PROCEDURES MANUAL,,
351,River Aire at Saltaire,8346,1.41,mALD,Peak Level - 25 June 2007,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2007,June,EMERGENCY RESPONSE PROCEDURES MANUAL,,
352,River Aire at Saltaire,8346,1.47,mALD,Peak Level - Summer 2002,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2002,,EMERGENCY RESPONSE PROCEDURES MANUAL,,
353,River Aire at Saltaire,8346,1.48,mALD,Peak Level - 23 June 2012,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2012,June,EMERGENCY RESPONSE PROCEDURES MANUAL,,
354,River Aire at Saltaire,8346,1.56,mALD,Peak Level - February 2002,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2002,February,EMERGENCY RESPONSE PROCEDURES MANUAL,,
355,River Aire at Saltaire,8346,1.57,mALD,Peak Level - 12 December 2015,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2015,December,EMERGENCY RESPONSE PROCEDURES MANUAL,,
356,River Aire at Saltaire,8346,1.65,mALD,Peak Level - 21 January 2008,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2008,January,EMERGENCY RESPONSE PROCEDURES MANUAL,,
357,River Aire at Saltaire,8346,2.84,mALD,Peak Level - 26 December 2015,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2015,December,EMERGENCY RESPONSE PROCEDURES MANUAL,,
358,River Aire at Saltaire,8346,1.7,mALD,On Boxing Day 2015 properties at Aire Close flooded with river at 1.7m,Property flooding Aire Way,"Property flooding at Aire Way, Shipley",Property Impact,2015,December,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.78375,53.840435
359,Bradford Beck at Shipley,9048,1.31,mALD,Peak Level - February 2002,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2002,February,EMERGENCY RESPONSE PROCEDURES MANUAL,,
360,Bradford Beck at Shipley,9048,1.72,mALD,Peak Level - Autumn 2000,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2000,,EMERGENCY RESPONSE PROCEDURES MANUAL,,
361,Bradford Beck at Shipley,9048,1.99,mALD,Peak Level - June 2000,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2000,June,EMERGENCY RESPONSE PROCEDURES MANUAL,,
362,Bradford Beck at Shipley,9048,2.02,mALD,Peak Level - Summer 2002,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2002,,EMERGENCY RESPONSE PROCEDURES MANUAL,,
363,Bradford Beck at Shipley,9048,2.06,mALD,Peak Level - 12 December 2015,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2015,December,EMERGENCY RESPONSE PROCEDURES MANUAL,,
364,River Aire at Apperley Bridge,9017,2.62,mALD,Peak Level - June 2012,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2012,June,EMERGENCY RESPONSE PROCEDURES MANUAL,,
365,River Aire at Apperley Bridge,9017,2.8,mALD,Peak Level - August 2004,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2004,August,EMERGENCY RESPONSE PROCEDURES MANUAL,,
366,River Aire at Apperley Bridge,9017,2.8,mALD,Peak Level - February 2002,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2002,February,EMERGENCY RESPONSE PROCEDURES MANUAL,,
367,River Aire at Apperley Bridge,9017,2.8,mALD,Peak Level - 15 June 2007,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2007,June,EMERGENCY RESPONSE PROCEDURES MANUAL,,
368,River Aire at Apperley Bridge,9017,3.04,mALD,Peak Level - 12 December 2015,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2015,December,EMERGENCY RESPONSE PROCEDURES MANUAL,,
369,River Aire at Apperley Bridge,9017,3.09,mALD,Peak Level - 25 June 2007,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2007,June,EMERGENCY RESPONSE PROCEDURES MANUAL,,
370,River Aire at Apperley Bridge,9017,3.1,mALD,Peak Level - 21 January 2008,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2008,January,EMERGENCY RESPONSE PROCEDURES MANUAL,,
371,River Aire at Apperley Bridge,9017,3.8,mALD,Peak Level - 26 December 2015,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2015,December,EMERGENCY RESPONSE PROCEDURES MANUAL,,
372,River Aire at Kirkstall Abbey,8120,2.43,mALD,Peak Level - 24 September 2012,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2012,September,EMERGENCY RESPONSE PROCEDURES MANUAL,,
373,River Aire at Kirkstall Abbey,8120,2.48,mALD,Peak Level - 15 June 2007,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2007,June,EMERGENCY RESPONSE PROCEDURES MANUAL,,
374,River Aire at Kirkstall Abbey,8120,2.58,mALD,Peak Level - 12 December 2015,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2015,December,EMERGENCY RESPONSE PROCEDURES MANUAL,,
375,River Aire at Kirkstall Abbey,8120,2.67,mALD,Peak Level - 25 June 2007,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2007,June,EMERGENCY RESPONSE PROCEDURES MANUAL,,
376,River Aire at Kirkstall Abbey,8120,2.68,mALD,Peak Level - 21 January 2008,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2008,January,EMERGENCY RESPONSE PROCEDURES MANUAL,,
377,River Aire at Kirkstall Abbey,8120,3.28,mALD,Peak Level - 26 Decmeber 2015,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2015,December,EMERGENCY RESPONSE PROCEDURES MANUAL,,
378,River Aire at Kirkstall Abbey,8120,2.8,mALD,"Redcote Lane Properties begin to flood in this area when the gauge records a
level above 2.80.",Property flooding Redcote Lane,"Property flooding on Redcote Lane, Leeds",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.588081,53.806545
379,River Aire at Kirkstall Abbey,8120,3,mALD,"Savins Mil Lane Properties begin to flood in this area when the gauge records a
level above 3.00.",Property flooding Savins Mill Way,"Property flooding Savins Mill Way, Leeds",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.604117,53.814183
380,River Aire at Armley,8009,3.15,mALD,Peak Level - 24 September 2012,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2012,September,EMERGENCY RESPONSE PROCEDURES MANUAL,,
381,River Aire at Armley,8009,3.23,mALD,Peak Level - June 2000,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2000,June,EMERGENCY RESPONSE PROCEDURES MANUAL,,
382,River Aire at Armley,8009,3.32,mALD,Peak Level - February 2002,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2002,February,EMERGENCY RESPONSE PROCEDURES MANUAL,,
383,River Aire at Armley,8009,3.39,mALD,Peak Level - September 1993,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,1993,September,EMERGENCY RESPONSE PROCEDURES MANUAL,,
384,River Aire at Armley,8009,3.42,mALD,Peak Level - September 2012,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2012,September,EMERGENCY RESPONSE PROCEDURES MANUAL,,
385,River Aire at Armley,8009,3.44,mALD,Peak Level - 15 June 2007,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2007,June,EMERGENCY RESPONSE PROCEDURES MANUAL,,
386,River Aire at Armley,8009,3.69,mALD,Peak Level - October 1967,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,1967,October,EMERGENCY RESPONSE PROCEDURES MANUAL,,
387,River Aire at Armley,8009,3.78,mALD,Peak Level - 25 June 2007,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2007,June,EMERGENCY RESPONSE PROCEDURES MANUAL,,
388,River Aire at Armley,8009,3.81,mALD,Peak Level - 12 December 2015,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2015,December,EMERGENCY RESPONSE PROCEDURES MANUAL,,
389,River Aire at Armley,8009,3.83,mALD,Peak Level - 21 January 2008,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2008,January,EMERGENCY RESPONSE PROCEDURES MANUAL,,
390,River Aire at Armley,8009,4.03,mALD,Peak Level - Autumn 2000,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2000,,EMERGENCY RESPONSE PROCEDURES MANUAL,,
391,River Aire at Armley,8009,5.21,mALD,Peak Level - 27 December 2015,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2015,December,EMERGENCY RESPONSE PROCEDURES MANUAL,,
392,River Aire at Armley,8009,3.97,mALD,"The first area to flood is around the City of Leeds Sea Cadets
building on Thwaite Lane",Property flooding Thwaite Lane,"Property flooding on Thwaite Lane, Leeds",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.507549,53.775286
393,River Aire at Armley,8009,4.52,mALD,"The first property to flood is Queensbury Jewellers Lts, 336
Kirkstall Road.",Property flooding Kirkstall Road,"Property flooding on Kirkstall Road, Leeds",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.570072,53.802027
394,River Aire at Armley,8009,5.04,mALD,"The first area to flood is the Television Studios, Oilgear Towler,
37 Burley Road and Cavendish Street area",Property flooding Burley Road,"Property flooding on Burley Road, Leeds",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.567839,53.803791
395,River Aire at Armley,8009,5.04,mALD,"The first area to flood is the Television Studios, Oilgear Towler,
37 Burley Road and Cavendish Street area",Property flooding Cavendish Street,"Property flooding on Cavendish Street, Leeds",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.56715,53.800987
396,River Aire at Armley,8009,5.04,mALD,The first property to flood is the Crowne Plaza Hotel.,Property flooding Wellington Place,"Property flooding on Wellington Place, Leeds",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.557543,53.796205
