Impact ID,Gauge,RLOI_ID,Value,Units,"Gaugelocation (Longtitude, Latitude)","Location (Longtitude, Latitude)",ThresholdComment,Short Name,Description,Type,ObsFloodYear,ObsFloodMonth,Source
665,River Calder at Elland,8073,2.06,mALD,"-1.813678,53.694286",,Peak Level - 23 June 2012,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2012,June,EMERGENCY RESPONSE PROCEDURES MANUAL
666,River Calder at Elland,8073,2.14,mALD,"-1.813678,53.694286",,Peak Level - 21 January 2008,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2008,January,EMERGENCY RESPONSE PROCEDURES MANUAL
667,River Calder at Elland,8073,2.76,mALD,"-1.813678,53.694286",,Peak Level - 26 December 2015,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2015,December,EMERGENCY RESPONSE PROCEDURES MANUAL
668,River Calder at Elland,8073,1.8,mALD,,"-1.841824,53.686732","saddleworth road Properties begin to flood in this area when the gauge records a
level above 1.80.",Property flooding Saddleworth Road,"Property flooding on Saddleworth Road, Elland",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL
669,River Calder at Elland,8073,2.15,mALD,,"-1.841898,53.686445","At a level of 2.15 Century Road will start to flood,
although additional properties affected.",Property flooding Elland,Property flooding at Elland,Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL
670,River Calder at Elland,8073,2.5,mALD,,"-1.832548,53.689458","At a level of 2.50
Calderdale Way will start to flood",Flooding on Calderdale Way,"Flooding on Calderdale Way, Elland",Road Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL
544,Oulton Beck at Farrer Lane,8075,0.63,mALD,"-1.448902,53.747992",,Peak Level - 12 December 2015,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2015,December,EMERGENCY RESPONSE PROCEDURES MANUAL
418,River Aire at Ferrybridge Lock,8077,2.17,mALD,"-1.26662,53.713759",,Peak Level - December 1991,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,1991,December,EMERGENCY RESPONSE PROCEDURES MANUAL
419,River Aire at Ferrybridge Lock,8077,2.19,mALD,"-1.26662,53.713759",,Peak Level - 13 December 2015,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2015,December,EMERGENCY RESPONSE PROCEDURES MANUAL
420,River Aire at Ferrybridge Lock,8077,2.24,mALD,"-1.26662,53.713759",,Peak Level - February 2002,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2002,February,EMERGENCY RESPONSE PROCEDURES MANUAL
421,River Aire at Ferrybridge Lock,8077,2.25,mALD,"-1.26662,53.713759",,Peak Level - June 2000,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2000,June,EMERGENCY RESPONSE PROCEDURES MANUAL
422,River Aire at Ferrybridge Lock,8077,2.26,mALD,"-1.26662,53.713759",,Peak Level - 23 June 2012,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2012,June,EMERGENCY RESPONSE PROCEDURES MANUAL
423,River Aire at Ferrybridge Lock,8077,2.33,mALD,"-1.26662,53.713759",,Peak Level - 27 December 2015,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2015,December,EMERGENCY RESPONSE PROCEDURES MANUAL
424,River Aire at Ferrybridge Lock,8077,2.34,mALD,"-1.26662,53.713759",,Peak Level - 26 June 2007,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2007,June,EMERGENCY RESPONSE PROCEDURES MANUAL
425,River Aire at Ferrybridge Lock,8077,2.34,mALD,"-1.26662,53.713759",,Peak Level - Summer 2002,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2002,,EMERGENCY RESPONSE PROCEDURES MANUAL
426,River Aire at Ferrybridge Lock,8077,2.35,mALD,"-1.26662,53.713759",,Peak Level - 22 January 2008,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2008,January,EMERGENCY RESPONSE PROCEDURES MANUAL
427,River Aire at Ferrybridge Lock,8077,2.39,mALD,"-1.26662,53.713759",,Peak Level - Autumn 2000,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2000,,EMERGENCY RESPONSE PROCEDURES MANUAL
245,River Wharfe at Flint Mill,8080,2.88,mALD,"-1.358935,53.920115",,03-Jan-82,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,1982,January,EMERGENCY RESPONSE PROCEDURES MANUAL
246,River Wharfe at Flint Mill,8080,2.89,mALD,"-1.358935,53.920115",,26-Sep-12,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2012,September,EMERGENCY RESPONSE PROCEDURES MANUAL
247,River Wharfe at Flint Mill,8080,2.9,mALD,"-1.358935,53.920115",,01-Feb-95,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,1995,February,EMERGENCY RESPONSE PROCEDURES MANUAL
302,River Aire at Gargrave,8083,1.08,mALD,"-2.097548,53.982002",,Peak Level -15 November 2015,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2015,November,EMERGENCY RESPONSE PROCEDURES MANUAL
303,River Aire at Gargrave,8083,1.1,mALD,"-2.097548,53.982002",,Peak Level - 12 December 2015,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2015,December,EMERGENCY RESPONSE PROCEDURES MANUAL
304,River Aire at Gargrave,8083,1.28,mALD,"-2.097548,53.982002",,"Peak Level - Summer 2002
The gardens and out buildings of 3 properties in Gargrave flooded from an ordinary
watercourse. The gardens of properties on River Place flooded from the River Aire,
however watercourse. The gardens of properties on River Place flooded from the
River Aire.",Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2002,,EMERGENCY RESPONSE PROCEDURES MANUAL
305,River Aire at Gargrave,8083,1.32,mALD,"-2.097548,53.982002",,"Peak Level - Autumn 2000
In total 35 residential properties, 4 commercial properties, 1 factory (Johnson and
Johnson), the village church and 12 caravans at the site in New Brighton were
affected by flooding. The Johnson & Johnson factory was flooded to a depth of 0.2m
with the flooding being attributed to both the River Aire and Eshton Beck. Properties
on River Place and Water Street are believed to have flooded from surface water
which had no drainage route since the volume of water in the River Aire had backed
up drains. The depth of flooding in some properties reached 0.5m",Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2000,,EMERGENCY RESPONSE PROCEDURES MANUAL
1126,River Ouse at Goole,8084,5.18,mALD,"-0.866423,53.701941",,Peak Level - 17 October 2012,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2012,October,EMERGENCY RESPONSE PROCEDURES MANUAL
1127,River Ouse at Goole,8084,5.35,mALD,"-0.866423,53.701941",,27-Nov-11,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2011,November,EMERGENCY RESPONSE PROCEDURES MANUAL
1128,River Ouse at Goole,8084,5.44,mALD,"-0.866423,53.701941",,Peak level - January 2005,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2005,January,EMERGENCY RESPONSE PROCEDURES MANUAL
1129,River Ouse at Goole,8084,5.56,mALD,"-0.866423,53.701941",,Peak level - November 1998,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,1998,November,EMERGENCY RESPONSE PROCEDURES MANUAL
1130,River Ouse at Goole,8084,6.04,mALD,"-0.866423,53.701941",,Peak Level - 5 December 2013,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2013,December,EMERGENCY RESPONSE PROCEDURES MANUAL
1066,River Rother at Hady Hill,8091,1.78,mALD,"-1.418671,53.233706",,Peak Level - February 2002,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2002,February,EMERGENCY RESPONSE PROCEDURES MANUAL
1067,River Rother at Hady Hill,8091,2.22,mALD,"-1.418671,53.233706",,Peak Level - August 2004,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2004,August,EMERGENCY RESPONSE PROCEDURES MANUAL
1068,River Rother at Hady Hill,8091,2.39,mALD,"-1.418671,53.233706",,Peak Level - 15 June 2007,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2007,June,EMERGENCY RESPONSE PROCEDURES MANUAL
1069,River Rother at Hady Hill,8091,2.77,mALD,"-1.418671,53.233706",,Peak Level - 25 November 2012,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2012,November,EMERGENCY RESPONSE PROCEDURES MANUAL
1070,River Rother at Hady Hill,8091,3.05,mALD,,"-1.422037,53.237730","central chesterfield Properties begin to flood in this area when the gauge records a
level above 3.05.",Property flooding Chesterfield,Property flooding at Chesterfield (central),Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL
603,River Calder at Hebden Bridge,8097,1.98,mALD,"-2.027245,53.741165",,Peak Level - February 2002,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2002,February,EMERGENCY RESPONSE PROCEDURES MANUAL
604,River Calder at Hebden Bridge,8097,2.14,mALD,"-2.027245,53.741165",,Peak Level - 15 November 2015,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2015,November,EMERGENCY RESPONSE PROCEDURES MANUAL
605,River Calder at Hebden Bridge,8097,2.26,mALD,"-2.027245,53.741165",,Peak Level - Autumn 2000,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2000,,EMERGENCY RESPONSE PROCEDURES MANUAL
606,River Calder at Hebden Bridge,8097,2.28,mALD,"-2.027245,53.741165",,Peak Level - July 2006,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2006,July,EMERGENCY RESPONSE PROCEDURES MANUAL
607,River Calder at Hebden Bridge,8097,2.68,mALD,"-2.027245,53.741165",,Peak Level - 21 January 2008,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2008,January,EMERGENCY RESPONSE PROCEDURES MANUAL
608,River Calder at Hebden Bridge,8097,3.04,mALD,"-2.027245,53.741165",,Peak Level - June 2000,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2000,June,EMERGENCY RESPONSE PROCEDURES MANUAL
609,River Calder at Hebden Bridge,8097,3.33,mALD,"-2.027245,53.741165",,Peak Level - 22 June 2012,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2012,June,EMERGENCY RESPONSE PROCEDURES MANUAL
610,River Calder at Hebden Bridge,8097,3.63,mALD,"-2.027245,53.741165",,Peak Level - 26 December 2015,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2015,December,EMERGENCY RESPONSE PROCEDURES MANUAL
611,River Calder at Hebden Bridge,8097,2.75,mALD,,"-2.024203,53.742668","Mytholm and Hebble Bridge Properties begin to flood in thisarea when the gauge records a
level above 2.75",Property flooding Mytholm,"Property flooding at Mytholm, Hebden Bridge",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL
958,River Sheaf at Highfield,8099,0.82,mALD,"-1.46412,53.373245",,Peak Level - February 2002,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2002,February,EMERGENCY RESPONSE PROCEDURES MANUAL
959,River Sheaf at Highfield,8099,1.12,mALD,"-1.46412,53.373245",,Peak Level - 16 January 2008,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2008,January,EMERGENCY RESPONSE PROCEDURES MANUAL
960,River Sheaf at Highfield,8099,1.59,mALD,"-1.46412,53.373245",,Peak Level - 27 April 2012,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2012,April,EMERGENCY RESPONSE PROCEDURES MANUAL
961,River Sheaf at Highfield,8099,1.74,mALD,"-1.46412,53.373245",,Peak Level - Autumn 2000,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2000,,EMERGENCY RESPONSE PROCEDURES MANUAL
962,River Sheaf at Highfield,8099,2.07,mALD,"-1.46412,53.373245",,Peak Level - 15 June 2007,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2007,June,EMERGENCY RESPONSE PROCEDURES MANUAL
963,River Sheaf at Highfield,8099,2.23,mALD,"-1.46412,53.373245",,Peak Level - June 1982,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,1982,June,EMERGENCY RESPONSE PROCEDURES MANUAL
964,River Sheaf at Highfield,8099,2.34,mALD,"-1.46412,53.373245",,Peak Level - 25 June 2007,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2007,June,EMERGENCY RESPONSE PROCEDURES MANUAL
965,River Sheaf at Highfield,8099,2.97,mALD,,"-1.464992,53.370475","Priestley Street, Duchess Street and Sheaf Gardens Properties begin to flood in this area when the gauge records a
level above 2.97",Property flooding Priestley Street,"Property flooding on Priestley Street, Sheffield",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL
966,River Sheaf at Highfield,8099,2.97,mALD,,"-1.465339,53.372195","Priestley Street, Duchess Street and Sheaf Gardens Properties begin to flood in this area when the gauge records a
level above 2.98",Property flooding Duchess Road,"Property flooding on Duchess Road, Sheffield",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL
967,River Sheaf at Highfield,8099,3.3,mALD,,"-1.459330,53.384979","Porter Brook at Ponds Forge and Victoria Quay Properties begin to flood in the warning areas above when the
gauge records a level above 3.30.",Property flooding Victoria Quays,"Property flooding on Victoria Quays, Sheffield",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL
968,River Sheaf at Highfield,8099,3.47,mALD,,"-1.455282,53.388459","Porter Brook at Effingham Street, Park Square and Victoria Quay Properties begin to flood in the warning areas above when the
gauge records a level above 3.47",Property flooding Effingham Street,"Property flooding on Effingham Street, Sheffield",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL
969,River Sheaf at Highfield,8099,3.3,mALD,,"-1.464986,53.375744","Flooding of properties on Leadmill Road, Leadmill Street,
Mortimer Street, Suffolk Road and Cross Turner Street.",Property flooding Leadmill Road,"Property flooding on Leadmill Road, Sheffield",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL
970,River Sheaf at Highfield,8099,3.3,mALD,,"-1.466017,53.375562","Flooding of properties on Leadmill Road, Leadmill Street,
Mortimer Street, Suffolk Road and Cross Turner Street.",Property flooding Leadmill Street,"Property flooding on Leadmill Street, Sheffield",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL
971,River Sheaf at Highfield,8099,3.3,mALD,,"-1.465652,53.375011","Flooding of properties on Leadmill Road, Leadmill Street,
Mortimer Street, Suffolk Road and Cross Turner Street.",Property flooding Mortimer Street,"Property flooding on Mortimer Street, Sheffield",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL
972,River Sheaf at Highfield,8099,3.3,mALD,,"-1.463290,53.375203","Flooding of properties on Leadmill Road, Leadmill Street,
Mortimer Street, Suffolk Road and Cross Turner Street.",Property flooding Suffolk Road,"Property flooding on Suffolk Road, Sheffield",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL
973,River Sheaf at Highfield,8099,3.3,mALD,,"-1.463054,53.376271","Flooding of properties on Leadmill Road, Leadmill Street,
Mortimer Street, Suffolk Road and Cross Turner Street.",Property flooding Cross Turner Street,"Property flooding on Cross Turner Street, Sheffield",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL
974,River Sheaf at Highfield,8099,3.3,mALD,,"-1.461999,53.385401","Overtopping of left bank upstream of Sheaf Screen (due to high
flows) will flood properties on Blonk Street, Exchange Street,
Wharfe Street, Malting Lane and Furnival Road. (57 Properties)",Property flooding Blonk Street,"Property flooding on Blonk Street, Sheffield",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL
975,River Sheaf at Highfield,8099,3.3,mALD,,"-1.462297,53.384338","Overtopping of left bank upstream of Sheaf Screen (due to high
flows) will flood properties on Blonk Street, Exchange Street,
Wharfe Street, Malting Lane and Furnival Road. (57 Properties)",Property flooding Exchange Street,"Property flooding on Exchange Street, Sheffield",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL
976,River Sheaf at Highfield,8099,3.3,mALD,,"-1.460324,53.384163","Overtopping of left bank upstream of Sheaf Screen (due to high
flows) will flood properties on Blonk Street, Exchange Street,
Wharfe Street, Malting Lane and Furnival Road. (57 Properties)",Property flooding Wharfe Street,"Property flooding on Wharfe Street, Sheffield",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL
977,River Sheaf at Highfield,8099,3.3,mALD,,"-1.459658,53.386256","Overtopping of left bank upstream of Sheaf Screen (due to high
flows) will flood properties on Blonk Street, Exchange Street,
Wharfe Street, Malting Lane and Furnival Road. (57 Properties)",Property flooding Furnival Road,"Property flooding on Furnival Road, Sheffield",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL
978,River Sheaf at Highfield,8099,3.47,mALD,,"-1.462443,53.373794","Overtopping of left bank upstream of Sheaf Screen (due to high
flows) will flood properties on Farm Road, Queens Road,
Cromford Street, Clough Road, Rowsley Street and Edmund
Road. (73 properties)",Property flooding Farm Road,"Property flooding on Farm Road, Sheffield",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL
979,River Sheaf at Highfield,8099,3.47,mALD,,"-1.466598,53.367739","Overtopping of left bank upstream of Sheaf Screen (due to high
flows) will flood properties on Farm Road, Queens Road,
Cromford Street, Clough Road, Rowsley Street and Edmund
Road. (73 properties)",Property flooding Queens Road,"Property flooding on Queens Road, Sheffield",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL
980,River Sheaf at Highfield,8099,3.47,mALD,,"-1.466144,53.371705","Overtopping of left bank upstream of Sheaf Screen (due to high
flows) will flood properties on Farm Road, Queens Road,
Cromford Street, Clough Road, Rowsley Street and Edmund
Road. (73 properties)",Property flooding Cromford Street,"Property flooding on Cromford Street, Sheffield",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL
981,River Sheaf at Highfield,8099,3.47,mALD,,"-1.465859,53.372255,","Overtopping of left bank upstream of Sheaf Screen (due to high
flows) will flood properties on Farm Road, Queens Road,
Cromford Street, Clough Road, Rowsley Street and Edmund
Road. (73 properties)",Property flooding Clough Road,"Property flooding on Clough Road, Sheffield",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL
982,River Sheaf at Highfield,8099,3.47,mALD,,"-1.465945,53.371426","Overtopping of left bank upstream of Sheaf Screen (due to high
flows) will flood properties on Farm Road, Queens Road,
Cromford Street, Clough Road, Rowsley Street and Edmund
Road. (73 properties)",Property flooding Rowsley Street,"Property flooding on Rowsley Street, Sheffield",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL
702,River Calder at Horbury,8100,3.29,mALD,"-1.562677,53.655883",,Peak Level - 15 June 2007,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2007,June,EMERGENCY RESPONSE PROCEDURES MANUAL
703,River Calder at Horbury,8100,3.59,mALD,"-1.562677,53.655883",,Peak Level - Autumn 2000,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2000,,EMERGENCY RESPONSE PROCEDURES MANUAL
704,River Calder at Horbury,8100,3.64,mALD,"-1.562677,53.655883",,Peak Level - 15 November 2015,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2015,November,EMERGENCY RESPONSE PROCEDURES MANUAL
705,River Calder at Horbury,8100,3.8,mALD,"-1.562677,53.655883",,Peak Level - 25 June 2007,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2007,June,EMERGENCY RESPONSE PROCEDURES MANUAL
706,River Calder at Horbury,8100,3.82,mALD,"-1.562677,53.655883",,Peak Level - 06 July 2012,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2012,July,EMERGENCY RESPONSE PROCEDURES MANUAL
707,River Calder at Horbury,8100,3.87,mALD,"-1.562677,53.655883",,Peak Level - 21 January 2008,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2008,January,EMERGENCY RESPONSE PROCEDURES MANUAL
708,River Calder at Horbury,8100,4.03,mALD,"-1.562677,53.655883",,Peak Level - 26 December 2015,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2015,December,EMERGENCY RESPONSE PROCEDURES MANUAL
709,River Calder at Horbury,8100,3.6,mALD,,"-1.550861,53.654926","the strands Properties begin to flood in this area when the gauge records a
level above 3.60.",Property flooding Horbury,Property flooding at Horbury,Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL
710,River Calder at Horbury,8100,4,mALD,,"-1.586164,53.671035","healey Properties begin to flood in this area when the gauge records a
level above 4.00",Property flooding Healey,"Property flooding at Healey, Wakefield",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL
711,River Calder at Horbury,8100,4.6,mALD,,"-1.550861,53.654926","horbury junction Properties begin to flood in this area when the gauge records a
level above 4.60",Property flooding Horbury Junction,Property flooding at Horbury Junction,Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL
712,River Calder at Horbury,8100,5.2,mALD,,"-1.540118,53.656365","Onset of flooding at Calder Park and widespread flooding in
Forge Lane Industrial Estate (1000yr event)",Property flooding Forge Lane,"Property flooding on Forge Lane, Horbury",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL
1018,River Dearne at Houghton,8101,0.98,mALD,"-1.369767,53.543567",,Peak Level - February 2002,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2002,February,EMERGENCY RESPONSE PROCEDURES MANUAL
1019,River Dearne at Houghton,8101,1.62,mALD,"-1.369767,53.543567",,Peak Level - Autumn 2000,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2000,,EMERGENCY RESPONSE PROCEDURES MANUAL
1020,River Dearne at Houghton,8101,1.62,mALD,"-1.369767,53.543567",,Peak Level - 22 January 2008,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2008,January,EMERGENCY RESPONSE PROCEDURES MANUAL
1021,River Dearne at Houghton,8101,1.68,mALD,"-1.369767,53.543567",,Peak Level - 07 July 2012,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2012,July,EMERGENCY RESPONSE PROCEDURES MANUAL
1022,River Dearne at Houghton,8101,1.85,mALD,"-1.369767,53.543567",,Peak Level - 16 June 2007,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2007,June,EMERGENCY RESPONSE PROCEDURES MANUAL
1023,River Dearne at Houghton,8101,2.11,mALD,"-1.369767,53.543567",,Peak Level - 26 June 2007,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2007,June,EMERGENCY RESPONSE PROCEDURES MANUAL
159,River Nidd at Hunsingore,8104,2.58,mALD,,"-1.347556,53.972190",22 Jan 2008 - 1 property in Hunsingore flooded,Property flooding Hunsingore,Property flooding at Hunsingore,Property Impact,2008,January,EMERGENCY RESPONSE PROCEDURES MANUAL
160,River Nidd at Hunsingore,8104,2.67,mALD,,"-1.318267,53.979848",06 Sept 2008 - Mill House at Hunsingore & road at Cattal flooded,Flooding to roads Cattal,Flooding to roads in Cattal area,Road Impact,2008,September,EMERGENCY RESPONSE PROCEDURES MANUAL
161,River Nidd at Hunsingore,8104,2.67,mALD,,"-1.347556,53.972190",30 Nov 2009 - 1 property flooded,Property flooding Hunsingore,Property flooding at Hunsingore,Property Impact,2009,November,EMERGENCY RESPONSE PROCEDURES MANUAL
162,River Nidd at Hunsingore,8104,2.83,mALD,,"-1.398191,54.095314",26 Sept 2012 - 11 Roads closed in the Boroughbridge area including Cattal,Flooding to roads Boroughbridge,Flooding to roads in Boroughbridge area,Road Impact,2012,September,EMERGENCY RESPONSE PROCEDURES MANUAL
163,River Nidd at Hunsingore,8104,1.6,mALD,,"-1.347556,53.972190",The Old Cornmill at Hunsingore starts to flood at this level.,Property flooding Hunsingore,Property flooding at Hunsingore,Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL
